,Numbers and their operations,Ratio and proportion,Percentage,Rate and speed,Algebraic,expressions and formulae,Functions and graphs,Equations and inequalities,Matrices,Set language and notation,"Angles, triangles and polygons",Congruence and similarity,Properties of circles,Pythagoras' theorem and trigonometry,Mensuration,Coordinate geometry,Vectors in two dimensions,Data handling and analysis,Probability,Student_id,Result
0,4,2,3,2,3,1,4,2,1,2,4,2,2,1,3,2,1,1,5,1,45
1,1,4,1,2,3,2,1,4,2,3,3,2,4,4,2,3,5,1,5,2,52
2,3,4,2,4,1,3,3,1,1,4,4,4,1,3,2,5,1,1,3,3,50
3,4,2,2,4,2,4,3,4,4,1,1,4,4,3,4,1,5,3,5,4,60
4,1,1,4,2,2,2,4,1,4,4,4,2,2,4,2,3,3,5,4,5,54
5,3,3,2,4,4,2,2,3,2,1,2,3,4,4,5,2,2,1,4,6,53
6,1,2,3,2,3,1,4,3,2,3,4,1,1,1,5,1,3,4,2,7,46
7,2,1,4,3,2,1,2,4,3,4,4,2,2,3,3,1,5,2,1,8,49
8,3,1,3,4,2,3,4,1,4,4,2,2,2,4,2,5,2,5,5,9,58
9,4,1,1,1,4,3,3,3,3,3,2,2,1,3,1,3,5,3,4,10,50
10,4,1,2,3,2,3,4,2,2,4,2,4,3,4,5,1,2,2,5,11,55
11,4,3,1,2,3,4,3,2,2,1,2,3,1,2,1,3,5,4,3,12,49
12,4,1,1,1,2,1,2,2,1,1,1,4,4,4,2,1,1,3,1,13,37
13,1,1,2,3,3,4,4,4,3,4,4,3,4,1,1,1,5,5,4,14,57
14,2,2,2,2,3,2,1,3,3,2,1,2,2,2,3,5,3,4,3,15,47
15,4,3,3,2,2,1,1,4,2,3,1,1,1,1,3,3,2,2,2,16,41
16,2,3,1,4,1,3,4,1,1,1,3,3,2,1,5,1,1,3,5,17,45
17,4,3,1,3,1,4,4,1,2,3,3,4,1,3,2,2,3,1,4,18,49
18,3,3,4,2,3,4,3,2,3,3,2,3,4,4,2,2,2,2,4,19,55
19,1,4,4,4,1,2,3,1,2,3,1,3,1,1,4,5,5,3,4,20,52
20,2,3,3,1,3,3,1,4,3,2,3,3,4,1,1,2,3,1,3,21,46
21,2,2,4,1,3,4,1,3,1,3,1,2,1,2,5,5,1,4,5,22,50
22,2,4,3,1,1,4,4,4,2,3,3,2,1,2,4,4,4,1,2,23,51
23,3,2,2,4,4,2,4,2,1,4,4,4,4,4,5,2,5,1,2,24,59
24,2,1,2,2,4,1,1,2,3,3,2,2,4,1,2,3,4,4,5,25,48
25,4,3,3,1,3,4,2,2,4,1,4,1,2,4,4,5,3,1,4,26,55
26,4,2,2,4,4,1,3,3,3,3,3,3,2,4,1,4,2,4,4,27,56
27,3,2,3,3,4,2,2,4,2,3,3,2,1,3,1,3,5,3,2,28,51
28,4,2,4,3,1,1,1,1,4,4,4,1,3,1,4,1,5,4,4,29,52
29,2,3,3,1,1,3,2,2,3,1,2,3,4,1,1,3,1,3,1,30,40
